date,v1,vx
01/2008,0,0
02/2008,0,0
03/2008,0,0
04/2008,0,0
05/2008,0,0
06/2008,0,0
07/2008,0,0
08/2008,0,0
09/2008,0,0
10/2008,2,0
11/2008,0,0
12/2008,0,0
01/2009,5,0
02/2009,10,1
03/2009,8,0
04/2009,15,1
05/2009,40,18
06/2009,10,1
07/2009,7,5
08/2009,40,10
09/2009,12,4
10/2009,88,4
11/2009,118,13
12/2009,87,2
01/2010,49,11
02/2010,80,19
03/2010,70,17
04/2010,171,24
05/2010,641,134
06/2010,1372,170
07/2010,183,38
08/2010,116,38
09/2010,150,25
10/2010,68,17
11/2010,98,23
12/2010,188,45
01/2011,142,23
02/2011,237,18
03/2011,204,27
04/2011,184,45
05/2011,285,32
06/2011,401,221
07/2011,561,79
08/2011,262,115
09/2011,242,84
10/2011,245,106
11/2011,570,75
12/2011,589,107
01/2012,587,97
02/2012,330,59
03/2012,245,74
04/2012,410,110
05/2012,228,86
06/2012,277,99
07/2012,447,184
08/2012,169,130
09/2012,295,139
10/2012,539,240
11/2012,480,255
12/2012,464,249
01/2013,304,219
02/2013,394,285
03/2013,339,93
04/2013,475,133
05/2013,277,143
06/2013,262,150
07/2013,296,85
08/2013,201,105
09/2013,420,139
10/2013,486,124
11/2013,449,168
12/2013,233,111
01/2014,657,626
02/2014,469,186
03/2014,598,128
04/2014,655,182
05/2014,395,152
